epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,307.241,0.783,1.36304,0.58765,1.17261,0.90512,0.85531,0.9214,0.76084,0.91192,0.86174,0.92786,0.75141,0.68152,1.18984,0.55148,1.11268,0.00069682,0.00069682,0.00069682
114,309.642,0.73917,1.28904,0.56349,1.17521,0.90186,0.85852,0.92798,0.77187,0.91023,0.86495,0.93123,0.75816,0.67567,1.14761,0.54631,1.11296,0.000692031,0.000692031,0.000692031
115,312.388,0.7392,1.2724,0.52492,1.16838,0.89079,0.89168,0.93141,0.78338,0.90035,0.9006,0.94252,0.77396,0.64379,1.12117,0.53593,1.10784,0.000687222,0.000687222,0.000687222
116,315.233,0.79614,1.36434,0.58548,1.18888,0.90088,0.87675,0.93546,0.78627,0.91079,0.8864,0.9455,0.77436,0.63536,1.14701,0.52802,1.10831,0.000682392,0.000682392,0.000682392
117,317.909,0.73583,1.24483,0.5276,1.12861,0.88804,0.88746,0.93822,0.78229,0.91027,0.88077,0.94795,0.7718,0.65631,1.17316,0.53384,1.11847,0.000677543,0.000677543,0.000677543
118,320.764,0.71724,1.13961,0.52565,1.12789,0.86385,0.91808,0.94418,0.77289,0.86688,0.9213,0.94367,0.76086,0.69431,1.234,0.53717,1.1295,0.000672675,0.000672675,0.000672675
119,323.436,0.76617,1.36061,0.55964,1.19607,0.89401,0.92218,0.9523,0.77693,0.89401,0.92218,0.94763,0.75931,0.6982,1.2253,0.52273,1.12355,0.000667789,0.000667789,0.000667789
120,326.309,0.68794,1.06981,0.51009,1.09625,0.89471,0.90997,0.95522,0.78912,0.89471,0.90997,0.95036,0.77158,0.66229,1.1608,0.50315,1.09524,0.000662885,0.000662885,0.000662885
121,329.101,0.7779,1.48342,0.57888,1.19378,0.92632,0.88932,0.95335,0.79562,0.92962,0.89187,0.9562,0.78042,0.63226,1.1018,0.48816,1.08446,0.000657963,0.000657963,0.000657963
122,332.079,0.72621,1.21882,0.51128,1.14767,0.93795,0.87491,0.95222,0.79816,0.94485,0.88134,0.95592,0.78496,0.62835,1.07626,0.48838,1.08197,0.000653025,0.000653025,0.000653025
